invoice_no,invoice_date,customer_id,customer_name,gstin,taxable_value,tax_amount,total,voucher_id
CA/24-25/0001,2024-06-28,C-023,Customer 023 Retail,33ZZ1122A1Z4,287781.00,51800.58,339581.58,SAL-00301
CA/24-25/0002,2024-11-29,C-002,Customer 002 Retail,36ZZ1101A1Z7,291447.00,52460.46,343907.46,SAL-00302
CA/24-25/0003,2024-11-17,C-020,Customer 020 Retail,36ZZ1119A1Z3,253916.00,45704.88,299620.88,SAL-00303
CA/24-25/0004,2025-01-24,C-028,Customer 028 Retail,29ZZ1127A1Z9,193421.00,34815.78,228236.78,SAL-00304
CA/24-25/0005,2024-07-11,C-025,Customer 025 Retail,24ZZ1124A1Z8,57641.00,10375.38,68016.38,SAL-00305
CA/24-25/0006,2024-12-08,C-027,Customer 027 Retail,27ZZ1126A1Z2,137266.00,24707.88,161973.88,SAL-00306
CA/24-25/0007,2024-08-02,C-021,Customer 021 Retail,27ZZ1120A1Z0,353088.00,63555.84,416643.84,SAL-00307
CA/24-25/0008,2024-10-10,C-007,Customer 007 Retail,24ZZ1106A1Z2,53554.00,9639.72,63193.72,SAL-00308
CA/24-25/0009,2025-03-30,C-029,Customer 029 Retail,33ZZ1128A1Z6,220346.00,39662.28,260008.28,SAL-00309
CA/24-25/0010,2024-06-29,C-030,Customer 030 Retail,07ZZ1129A1Z3,145448.00,26180.64,171628.64,SAL-00310
CA/24-25/0011,2024-09-02,C-030,Customer 030 Retail,07ZZ1129A1Z3,356916.00,64244.88,421160.88,SAL-00311
CA/24-25/0012,2025-03-11,C-016,Customer 016 Retail,29ZZ1115A1Z5,118897.00,21401.46,140298.46,SAL-00312
CA/24-25/0013,2025-01-13,C-006,Customer 006 Retail,07ZZ1105A1Z5,319709.00,57547.62,377256.62,SAL-00313
CA/24-25/0014,2024-10-21,C-008,Customer 008 Retail,36ZZ1107A1Z9,119928.00,21587.04,141515.04,SAL-00314
CA/24-25/0015,2024-09-11,C-029,Customer 029 Retail,33ZZ1128A1Z6,332626.00,59872.68,392498.68,SAL-00315
